Old_Range,Old_ExtraAffectResult,New_Damage,New_FullRangeDescription,Old_WasEditedForGame,New_NumOfTurns,Old_NumOfTargets,Old_LengthOfBonusAffect,Old_FullRangeDescription,New_LengthOfExtraAffect,Old_Damage,New_ContributedBy,Old_NumOfTurns,New_LengthOfBonusAffect,Old_AttackCategory,Old_AccuracyBonusType,Old_AC,New_AccuracyBonusType,New_ElementType,New_ContestStats,Old_AccuracyBonusResult,Old_ContributedBy,New_WasEditedForGame,AttackName,New_NumOfTargets,New_Category,New_AC,Old_AccuracyCheckBonus,New_AttackEffects,Old_ExtraAffectType,Old_ContestStats,New_Frequency,New_AccuracyCheckBonus,New_ExtraAffectType,Old_Frequency,Old_LengthOfExtraAffect,New_Range,New_AttackCategory,New_ExtraAffectResult,New_AccuracyBonusResult,Old_ElementType,Old_Category,Old_AttackEffects
Ranged (8),,1d6+3,"Ranged (8), 1 Target, Scatter",0,, 1 Target,,"Ranged (8), 1 Target, Scatter",,1d6+3,,,, Scatter,,4,,Normal,Tough - 2d4 - Reliable,,,0,Barrage, 1 Target,Physical,4,,"Barrage can hit up to 5 times. Once the user misses, they cannot attempt to make another Barrage attack on that turn.",,Tough - 2d4 - Reliable,EOT,,,EOT,,Ranged (8), Scatter,,,Normal,Physical,"Barrage can hit up to 5 times. Once the user misses, they cannot attempt to make another Barrage attack on that turn."
Melee,,1d6+3,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d6+3,,,, Scatter,,4,,Normal,Tough - 2d4 - Reliable,,,0,Comet Punch, 1 Target,Physical,4,,"Comet Punch can hit up to 5 times. Once the user misses, they cannot attempt to make another Comet Punch attack on that turn.",,Tough - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Normal,Physical,"Comet Punch can hit up to 5 times. Once the user misses, they cannot attempt to make another Comet Punch attack on that turn."
Melee,,1d12+6,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d12+6,,,, Scatter,,3,,Normal,Smart - 2d4 - Reliable,,,0,Double Hit, 1 Target,Physical,3,,"Double Hit can hit up to 2 times. If Double Hit misses its first target, you may still use it a second time.",,Smart - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Normal,Physical,"Double Hit can hit up to 2 times. If Double Hit misses its first target, you may still use it a second time."
Melee,,1d6+1,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d6+1,,,, Scatter,,4,,Normal,Tough - 2d4 - Reliable,,,0,Doubleslap, 1 Target,Physical,4,,"Doubleslap can hit up to 5 times. Once the user misses, they cannot attempt to make another Doubleslap attack on that turn.",,Tough - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Normal,Physical,"Doubleslap can hit up to 5 times. Once the user misses, they cannot attempt to make another Doubleslap attack on that turn."
Melee,,1d6+3,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d6+3,,,, Scatter,,4,,Normal,Cool - 2d4 - Reliable,,,0,Fury Attack, 1 Target,Physical,4,,"Fury Attack can hit up to 5 times. Once the user misses, they cannot attempt to make another Fury Attack attack on that turn.",,Cool - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Normal,Physical,"Fury Attack can hit up to 5 times. Once the user misses, they cannot attempt to make another Fury Attack attack on that turn."
Melee,,1d6+3,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d6+3,,,, Scatter,,4,,Normal,Tough - 2d4 - Reliable,,,0,Fury Swipes, 1 Target,Physical,4,,"Fury Swipes can hit up to 5 times. Once the user misses, they cannot attempt to make another Fury Swipes attack on that turn.",,Tough - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Normal,Physical,"Fury Swipes can hit up to 5 times. Once the user misses, they cannot attempt to make another Fury Swipes attack on that turn."
Ranged (6),,1d6+3,"Ranged (6), 1 Target, Scatter",0,, 1 Target,,"Ranged (6), 1 Target, Scatter",,1d6+3,,,, Scatter,,4,,Normal,Cool - 2d4 - Reliable,,,0,Spike Cannon, 1 Target,Physical,4,,"Spike Cannon can hit up to 5 times. Once the user misses, they cannot attempt to make another Spike Cannon attack on that turn.",,Cool - 2d4 - Reliable,EOT,,,EOT,,Ranged (6), Scatter,,,Normal,Physical,"Spike Cannon can hit up to 5 times. Once the user misses, they cannot attempt to make another Spike Cannon attack on that turn."
Melee,,1d10+4,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d10+4,,,, Scatter,,4,,Normal,Cute - 2d4 - Reliable,,,0,Tail Slap, 1 Target,Physical,4,,"Tail Slap can hit up to 5 times. Once the user misses, they cannot attempt to make another Tail Slap attack on that turn.",,Cute - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Normal,Physical,"Tail Slap can hit up to 5 times. Once the user misses, they cannot attempt to make another Tail Slap attack on that turn."
Ranged (6),,1d10+4,"Ranged (6), 1 Target, Scatter",0,, 1 Target,,"Ranged (6), 1 Target, Scatter",,1d10+4,,,, Scatter,,5,,Rock,Tough - 2d4 - Reliable,,,0,Rock Blast, 1 Target,Physical,5,,"Rock Blast can hit up to 5 times. Once the user misses, they cannot attempt to make another Rock Blast attack on that turn. *Grants: Materializer",,Tough - 2d4 - Reliable,EOT,,,EOT,,Ranged (6), Scatter,,,Rock,Physical,"Rock Blast can hit up to 5 times. Once the user misses, they cannot attempt to make another Rock Blast attack on that turn. *Grants: Materializer"
Melee,,2d8+6,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,2d8+6,,,, Scatter,,3,,Steel,Cool - 2d4 - Reliable,,,0,Gear Grind, 1 Target,Physical,3,,"Gear Grind can hit up to 2 times. If Gear Grind misses its first target, you may still use it a second time.",,Cool - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Steel,Physical,"Gear Grind can hit up to 2 times. If Gear Grind misses its first target, you may still use it a second time."
Melee,,3d10+12,"Melee, 1 Target, Recoil 1/4",0,, 1 Target,,"Melee, 1 Target, Recoil 1/4",,3d10+12,,,, Recoil 1/4,,6,,Fighting,Cool - 3d4 - No Effect,,,0,Submission, 1 Target,Physical,6,,"After Submission deals damage, Recoil.",,Cool - 3d4 - No Effect,At-Will,,,At-Will,,Melee, Recoil 1/4,,,Fighting,Physical,"After Submission deals damage, Recoil."
Melee,,5d12+18,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,5d12+18,,,, Push,,5,,Bug,Cool - 2d4 - Round Ender,,,0,Megahorn, 1 Target,Physical,5,,"The target is Pushed 3-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,Cool - 2d4 - Round Ender,Battle,,,Battle,,Melee, Push,,,Bug,Physical,"The target is Pushed 3-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6."
Melee,,2d10+8,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,2d10+8,,,, Push,,3,,Dragon,Smart - None - Big Show,,,0,Dragon Tail, 1 Target,Physical,3,,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target's owner must recall the Pushed target and replace them.",,Smart - None - Big Show,Battle,,,Battle,,Melee, Push,,,Dragon,Physical,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target's owner must recall the Pushed target and replace them."
Melee,,2d10+8,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,2d10+8,,,, Push,,4,,Fighting,Tough - None - Big Show,,,0,Circle Throw, 1 Target,Physical,4,,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target's owner must recall the Pushed target and replace them.",,Tough - None - Big Show,Center,,,Center,,Melee, Push,,,Fighting,Physical,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target's owner must recall the Pushed target and replace them."
Melee,,7d10+28,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,7d10+28,,,, Push,,2,,Fighting,Tough - 1d4 - Special Attention,,,0,Focus Punch, 1 Target,Physical,2,,"Once you declare the use of Focus Punch the user's turn ends. If you are not hit by a damaging Move until your next turn you may use Focus Punch's damage and effects. The target is Pushed 10-meters and it takes an additional 2d12 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d12. If the user is hit by a damaging Move before it's next turn, it may not use a Move on that turn.",,Tough - 1d4 - Special Attention,EOT,,,EOT,,Melee, Push,,,Fighting,Physical,"Once you declare the use of Focus Punch the user's turn ends. If you are not hit by a damaging Move until your next turn you may use Focus Punch's damage and effects. The target is Pushed 10-meters and it takes an additional 2d12 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d12. If the user is hit by a damaging Move before it's next turn, it may not use a Move on that turn."
Melee,,3d12+14,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,3d12+14,,,, Push,,3,,Fighting,Cool - 2d4 - Round Starter,,,0,Sky Uppercut, 1 Target,Physical,3,,"The target is Pushed 2-meters. If the target is airborne, Sky Uppercut deals an additional 2d10. If the target is airborne as a result of Fly or Sky Drop, Sky Uppercut cannot miss as long as you are in a space adjacent to the airborne target.",,Cool - 2d4 - Round Starter,EOT,,,EOT,,Melee, Push,,,Fighting,Physical,"The target is Pushed 2-meters. If the target is airborne, Sky Uppercut deals an additional 2d10. If the target is airborne as a result of Fly or Sky Drop, Sky Uppercut cannot miss as long as you are in a space adjacent to the airborne target."
Melee,,3d8+10,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,3d8+10,,,, Push,,0,,Fighting,Cool - 2d4 - Slow Set,,,0,Vital Throw, 1 Target,Physical,0,,"Vital Throw may only be used if the user was targeted by a Move on a foe's last turn while the foe was adjacent. Vital Throw can only target that foe. Vital Throw cannot miss. The target is Pushed 5-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,Cool - 2d4 - Slow Set,Battle,,,Battle,,Melee, Push,,,Fighting,Physical,"Vital Throw may only be used if the user was targeted by a Move on a foe's last turn while the foe was adjacent. Vital Throw can only target that foe. Vital Throw cannot miss. The target is Pushed 5-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6."
Melee,,3d12+14,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,3d12+14,,,, Push,,4,,Fire,Beauty - 2d4 - Round Starter,,,0,Blaze Kick, 1 Target,Physical,4,,Blaze Kick Pushes the target 2-meters. Blaze Kick Burns the target on 19-20 during Accuracy Check. Blaze Kick is a Critical Hit on 16-20 during Accuracy Check.,,Beauty - 2d4 - Round Starter,Battle,,,Battle,,Melee, Push,,,Fire,Physical,Blaze Kick Pushes the target 2-meters. Blaze Kick Burns the target on 19-20 during Accuracy Check. Blaze Kick is a Critical Hit on 16-20 during Accuracy Check.
Melee,,3d8+10,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,3d8+10,,,, Push,,2,,Normal,Cool - None - Inversed Appeal,,,0,Dizzy Punch, 1 Target,Physical,2,,The target is Pushed 2-meters. Dizzy Punch Confuses the target on 17-20 during Accuracy Check.,,Cool - None - Inversed Appeal,Battle,,,Battle,,Melee, Push,,,Normal,Physical,The target is Pushed 2-meters. Dizzy Punch Confuses the target on 17-20 during Accuracy Check.
Melee,,3d10+12,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,3d10+12,,,, Push,,4,,Normal,Tough - 3d4 - No Effect,,,0,Strength, 1 Target,Physical,4,,The target is Pushed 8-meters. *Grants: +1 Power,,Tough - 3d4 - No Effect,EOT,,,EOT,,Melee, Push,,,Normal,Physical,The target is Pushed 8-meters. *Grants: +1 Power
Ranged (6),,-,"Ranged (6), 1 Target, Push",0,, 1 Target,,"Ranged (6), 1 Target, Push",,-,,,, Push,,2,,Normal,Smart - None - Big Show,,,0,Whirlwind, 1 Target,Effect,2,,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target's owner must recall the Pushed target and replace them.",,Smart - None - Big Show,Center,,,Center,,Ranged (6), Push,,,Normal,Effect,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target's owner must recall the Pushed target and replace them."
Ranged (10),,3d12+14,"Ranged (10), 1 Target, Push",0,, 1 Target,,"Ranged (10), 1 Target, Push",,3d12+14,,,, Push,,2,,Psychic,Smart - 2d4 - Round Starter,,,0,Psychic, 1 Target,Special,2,,The target is Pushed 5-meters in any direction. Psychic lowers the target's Special Defense 1 Combat Stage on 17-20 during Accuracy Check. *Grants: Telekinetic,,Smart - 2d4 - Round Starter,Battle,,,Battle,,Ranged (10), Push,,,Psychic,Special,The target is Pushed 5-meters in any direction. Psychic lowers the target's Special Defense 1 Combat Stage on 17-20 during Accuracy Check. *Grants: Telekinetic
Melee,,3d12+14,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,3d12+14,,,, Push,,3,,Water,Tough - 2d4 - Round Starter,,,0,Crabhammer, 1 Target,Physical,3,,Crabhammer Pushes the target 2-meters. Crabhammer is a Critical Hit on 18-20 during Accuracy Check.,,Tough - 2d4 - Round Starter,Battle,,,Battle,,Melee, Push,,,Water,Physical,Crabhammer Pushes the target 2-meters. Crabhammer is a Critical Hit on 18-20 during Accuracy Check.
Melee,,3d10+12,"Melee, 1 Target, Push",0,, 1 Target,,"Melee, 1 Target, Push",,3d10+12,,,, Push,,2,,Water,Tough - 3d4 - No Effect,Flinches,,0,Waterfall, 1 Target,Physical,2,17,"The target is Pushed 2-meters. If the target is airborne, Waterfall deals an additional 1d12 during Damage Dice Roll. Waterfall Flinches the target on 17-20 during Accuracy Check.",,Tough - 3d4 - No Effect,EOT,17,,EOT,,Melee, Push,,Flinches,Water,Physical,"The target is Pushed 2-meters. If the target is airborne, Waterfall deals an additional 1d12 during Damage Dice Roll. Waterfall Flinches the target on 17-20 during Accuracy Check."
Ranged (6),,2d8+6,"Ranged (6), 1 Target, Pledge",0,, 1 Target,,"Ranged (6), 1 Target, Pledge",,2d8+6,,,, Pledge,,2,,Fire,Beauty - None - Torrential Appeal,,,0,Fire Pledge, 1 Target,Special,2,,"If used on the same turn as Water Pledge, all secondary effects of Moves are activated at a -3 during the Accuracy Check for 1d4+1 turns. If used on the same turn as Grass Pledge, all foes within 20 meters of the user lose 1/8th of their max HP at the end of each round of combat for 1d4+1 turns.",,Beauty - None - Torrential Appeal,EOT,,,EOT,,Ranged (6), Pledge,,,Fire,Special,"If used on the same turn as Water Pledge, all secondary effects of Moves are activated at a -3 during the Accuracy Check for 1d4+1 turns. If used on the same turn as Grass Pledge, all foes within 20 meters of the user lose 1/8th of their max HP at the end of each round of combat for 1d4+1 turns."
Ranged (6),,2d8+6,"Ranged (6), 1 Target, Pledge",0,, 1 Target,,"Ranged (6), 1 Target, Pledge",,2d8+6,,,, Pledge,,2,,Grass,Beauty - None - Torrential Appeal,,,0,Grass Pledge, 1 Target,Special,2,,"If used on the same turn as Water Pledge, all foes are treated as if at -2 Speed Combat Stages for 1d4+1 turns, if any foe has additional Speed Combat Stages, apply them as usual. If used on the same turn as Fire Pledge, all foes within 20 meters of the user lose 1/8th of their max HP at the end of each round of combat for 1d4+1 turns.",,Beauty - None - Torrential Appeal,EOT,,,EOT,,Ranged (6), Pledge,,,Grass,Special,"If used on the same turn as Water Pledge, all foes are treated as if at -2 Speed Combat Stages for 1d4+1 turns, if any foe has additional Speed Combat Stages, apply them as usual. If used on the same turn as Fire Pledge, all foes within 20 meters of the user lose 1/8th of their max HP at the end of each round of combat for 1d4+1 turns."
Ranged (6),,2d8+6,"Ranged (6), 1 Target, Pledge",0,, 1 Target,,"Ranged (6), 1 Target, Pledge",,2d8+6,,,, Pledge,,2,,Water,Beauty - None - Torrential Appeal,,,0,Water Pledge, 1 Target,Special,2,,"If used on the same turn as Fire Pledge, all secondary effects of Moves are activated at a -3 during the Accuracy Check for 1d4+1 turns. If used on the same turn as Grass Pledge, all foes are treated as if at -2 Speed Combat Stages for 1d4+1 turns, if any foe has additional Speed Combat Stages, apply them as usual.",,Beauty - None - Torrential Appeal,EOT,,,EOT,,Ranged (6), Pledge,,,Water,Special,"If used on the same turn as Fire Pledge, all secondary effects of Moves are activated at a -3 during the Accuracy Check for 1d4+1 turns. If used on the same turn as Grass Pledge, all foes are treated as if at -2 Speed Combat Stages for 1d4+1 turns, if any foe has additional Speed Combat Stages, apply them as usual."
Melee,,3d8+10,"Melee, 1 Target, Pass",0,, 1 Target,,"Melee, 1 Target, Pass",,3d8+10,,,, Pass,,2,,Bug,Tough - 3d4 - No Effect,Flinches,,0,Steamroller, 1 Target,Physical,2,15,"Steamroller Flinches the target on 15-20 during Accuracy Check. If the target is Small, Steamroller deals an additional 1d10.",,Tough - 3d4 - No Effect,EOT,15,,EOT,,Melee, Pass,,Flinches,Bug,Physical,"Steamroller Flinches the target on 15-20 during Accuracy Check. If the target is Small, Steamroller deals an additional 1d10."
